province_id,pos
11,40
12,955
13,2342
14,3143
15,3659
16,4129
17,4925
18,5357
19,6027
21,6340
31,6613
32,6887
33,7949
34,9334
35,9537
36,11026
51,11348
52,11701
53,12112
61,13050
62,13621
63,14223
64,14784
65,15213
71,15395
72,16095
73,16623
74,17590
75,18316
76,18563
81,18812
82,19313
91,19782
94,20326
